,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,15.6,,29.0,0.23,9.0,0.0,0,34,69,289
1,2023-12-01 01:00:00,16.7,,24.0,0.24,7.0,0.0,0,32,77,187
2,2023-12-01 02:00:00,17.0,,17.0,0.29,13.0,0.0,1,30,84,195
3,2023-12-01 03:00:00,18.3,,15.0,0.31,8.0,0.0,1,27,87,149
4,2023-12-01 04:00:00,17.6,,17.0,0.32,9.0,0.0,1,27,89,163
5,2023-12-01 05:00:00,18.5,,11.0,0.43,15.0,0.0,1,27,90,220
6,2023-12-01 06:00:00,21.3,,4.0,0.76,19.0,1.0,1,27,93,227
7,2023-12-01 07:00:00,26.7,,10.0,0.82,18.0,1.0,1,28,84,139
8,2023-12-01 08:00:00,30.3,,23.0,0.51,9.0,0.0,1,32,68,59
9,2023-12-01 09:00:00,31.9,,29.0,0.37,8.0,0.0,2,35,62,323
10,2023-12-01 10:00:00,26.7,,30.0,0.26,11.0,0.0,1,36,60,44
11,2023-12-01 11:00:00,21.4,,32.0,0.26,7.0,0.0,1,34,59,1
12,2023-12-01 12:00:00,16.8,,30.0,0.22,6.0,0.0,1,33,59,11
13,2023-12-01 13:00:00,12.4,,28.0,0.25,8.0,0.0,1,33,59,74
14,2023-12-01 14:00:00,15.3,,34.0,0.24,8.0,1.0,1,36,56,190
15,2023-12-01 15:00:00,14.7,,32.0,0.43,17.0,1.0,1,35,56,184
16,2023-12-01 16:00:00,10.9,,39.0,0.29,10.0,1.0,1,34,60,226
17,2023-12-01 17:00:00,8.7,,34.0,0.3,10.0,1.0,2,33,67,234
18,2023-12-01 18:00:00,7.4,,22.0,0.43,18.0,1.0,1,32,71,253
19,2023-12-01 19:00:00,6.4,,6.0,0.52,27.0,1.0,1,31,76,14
20,2023-12-01 20:00:00,9.5,,4.0,,,,1,31,83,44
21,2023-12-01 21:00:00,12.6,,,0.51,19.0,0.0,1,32,84,28
22,2023-12-01 22:00:00,16.1,,12.0,0.28,9.0,0.0,1,32,87,66
23,2023-12-01 23:00:00,14.7,,15.0,0.24,7.0,0.0,1,32,82,97
24,2023-12-02 00:00:00,10.9,,16.0,0.18,5.0,0.0,1,29,87,151
25,2023-12-02 01:00:00,11.0,,17.0,0.13,2.0,0.0,1,27,97,183
26,2023-12-02 02:00:00,12.5,,13.0,0.14,8.0,0.0,1,26,98,275
27,2023-12-02 03:00:00,11.5,,10.0,0.16,8.0,0.0,1,26,99,192
28,2023-12-02 04:00:00,10.7,,9.0,0.2,6.0,0.0,1,25,99,221
29,2023-12-02 05:00:00,9.9,,5.0,0.28,9.0,0.0,1,25,100,302
30,2023-12-02 06:00:00,8.5,,2.0,0.69,13.0,1.0,1,25,99,296
31,2023-12-02 07:00:00,8.8,,5.0,0.56,11.0,1.0,1,26,96,236
32,2023-12-02 08:00:00,17.7,,9.0,0.38,10.0,0.0,1,30,87,291
33,2023-12-02 09:00:00,23.2,,20.0,0.43,8.0,1.0,1,36,67,20
34,2023-12-02 10:00:00,23.2,,25.0,0.27,7.0,0.0,2,38,57,52
35,2023-12-02 11:00:00,20.6,,28.0,0.21,6.0,0.0,2,33,55,47
36,2023-12-02 12:00:00,17.6,,27.0,0.2,5.0,0.0,1,35,53,46
37,2023-12-02 13:00:00,14.8,,25.0,0.16,4.0,0.0,1,36,48,72
38,2023-12-02 14:00:00,11.5,,29.0,0.17,4.0,0.0,1,35,50,127
39,2023-12-02 15:00:00,9.5,,29.0,0.21,6.0,0.0,1,35,49,120
40,2023-12-02 16:00:00,8.2,,28.0,0.28,8.0,1.0,2,35,54,136
41,2023-12-02 17:00:00,7.0,,25.0,0.32,11.0,1.0,1,32,65,264
42,2023-12-02 18:00:00,6.0,,16.0,0.35,16.0,1.0,2,32,73,309
43,2023-12-02 19:00:00,5.8,,16.0,,,,1,31,77,298
44,2023-12-02 20:00:00,5.3,,,0.37,17.0,0.0,1,31,82,357
45,2023-12-02 21:00:00,6.9,,7.0,0.38,17.0,0.0,1,30,85,354
46,2023-12-02 22:00:00,8.0,,6.0,0.38,17.0,0.0,0,30,84,294
