,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,26.5,42.0,,,,,0,26,72,0
1,2023-12-01 01:00:00,28.2,38.0,,,,,0,25,75,0
2,2023-12-01 02:00:00,28.7,37.0,,,,,0,27,68,0
3,2023-12-01 03:00:00,26.7,35.0,,,,,0,27,66,0
4,2023-12-01 04:00:00,22.5,32.0,,,,,0,27,67,0
5,2023-12-01 05:00:00,21.0,32.0,,,,,0,25,73,0
6,2023-12-01 06:00:00,21.2,34.0,,,,,0,25,73,0
7,2023-12-01 07:00:00,21.4,34.0,,,,,0,26,70,0
8,2023-12-01 08:00:00,17.7,33.0,,,,,0,27,65,0
9,2023-12-01 09:00:00,11.7,35.0,,,,,0,28,62,0
10,2023-12-01 10:00:00,11.9,37.0,,,,,0,29,59,0
11,2023-12-01 11:00:00,12.3,39.0,,,,,0,30,57,0
12,2023-12-01 12:00:00,14.2,27.0,,,,,0,30,57,0
13,2023-12-01 13:00:00,13.5,27.0,,,,,0,31,56,0
14,2023-12-01 14:00:00,15.5,29.0,,,,,0,31,54,0
15,2023-12-01 15:00:00,15.9,37.0,,,,,0,32,52,0
16,2023-12-01 16:00:00,13.0,29.0,,,,,0,32,53,0
17,2023-12-01 17:00:00,14.1,30.0,,,,,0,30,65,0
18,2023-12-01 18:00:00,22.0,44.0,,,,,0,28,74,0
19,2023-12-01 19:00:00,40.0,77.0,,,,,0,28,76,0
20,2023-12-01 20:00:00,50.7,92.0,,,,,0,27,79,0
21,2023-12-01 21:00:00,51.8,86.0,,,,,0,27,79,0
22,2023-12-01 22:00:00,52.3,92.0,,,,,0,26,80,0
23,2023-12-01 23:00:00,33.2,68.0,,,,,0,24,86,0
24,2023-12-02 00:00:00,11.2,24.0,,,,,0,25,87,0
25,2023-12-02 01:00:00,9.0,20.0,,,,,0,24,88,0
26,2023-12-02 02:00:00,10.9,21.0,,,,,0,24,88,0
27,2023-12-02 03:00:00,14.7,22.0,,,,,0,24,88,0
28,2023-12-02 04:00:00,11.0,20.0,,,,,0,24,88,0
29,2023-12-02 05:00:00,11.8,22.0,,,,,0,24,87,0
30,2023-12-02 06:00:00,14.5,22.0,,,,,0,24,86,0
31,2023-12-02 07:00:00,16.3,28.0,,,,,0,26,81,0
32,2023-12-02 08:00:00,16.5,35.0,,,,,0,27,72,0
33,2023-12-02 09:00:00,14.5,30.0,,,,,0,29,63,0
34,2023-12-02 10:00:00,12.7,23.0,,,,,0,30,59,0
35,2023-12-02 11:00:00,11.7,24.0,,,,,0,31,56,0
36,2023-12-02 12:00:00,11.0,22.0,,,,,0,31,54,0
37,2023-12-02 13:00:00,10.5,21.0,,,,,0,32,52,0
38,2023-12-02 14:00:00,10.1,21.0,,,,,0,32,51,0
39,2023-12-02 15:00:00,13.3,21.0,,,,,0,32,51,0
40,2023-12-02 16:00:00,15.9,23.0,,,,,0,32,54,0
41,2023-12-02 17:00:00,22.0,32.0,,,,,0,31,59,0
42,2023-12-02 18:00:00,25.3,39.0,,,,,0,29,70,0
43,2023-12-02 19:00:00,29.0,49.0,,,,,0,27,78,0
44,2023-12-02 20:00:00,35.6,58.0,,,,,0,28,77,0
45,2023-12-02 21:00:00,31.3,59.0,,,,,0,27,80,0
46,2023-12-02 22:00:00,27.7,45.0,,,,,0,27,76,0
47,2023-12-02 23:00:00,21.4,47.0,,,,,0,28,67,0
48,2023-12-03 00:00:00,17.3,32.0,,,,,0,28,66,0
49,2023-12-03 01:00:00,16.7,26.0,,,,,0,27,67,0
50,2023-12-03 02:00:00,14.5,28.0,,,,,0,27,66,0
51,2023-12-03 03:00:00,17.1,24.0,,,,,0,27,66,0
52,2023-12-03 04:00:00,12.5,26.0,,,,,0,27,66,0
53,2023-12-03 05:00:00,11.0,22.0,,,,,0,26,66,0
54,2023-12-03 06:00:00,11.3,22.0,,,,,0,26,68,0
55,2023-12-03 07:00:00,11.9,21.0,,,,,0,26,67,0
56,2023-12-03 08:00:00,12.2,24.0,,,,,0,27,63,0
57,2023-12-03 09:00:00,13.1,27.0,,,,,0,28,59,0
58,2023-12-03 10:00:00,10.9,25.0,,,,,0,30,55,0
59,2023-12-03 11:00:00,12.3,25.0,,,,,0,30,53,0
60,2023-12-03 12:00:00,14.9,22.0,,,,,0,31,52,0
61,2023-12-03 13:00:00,11.7,23.0,,,,,0,32,51,0
62,2023-12-03 14:00:00,10.2,23.0,,,,,0,32,49,0
63,2023-12-03 15:00:00,8.8,21.0,,,,,0,32,49,0
64,2023-12-03 16:00:00,12.1,24.0,,,,,0,32,52,0
65,2023-12-03 17:00:00,15.5,31.0,,,,,0,30,63,0
66,2023-12-03 18:00:00,22.8,41.0,,,,,0,29,74,0
67,2023-12-03 19:00:00,40.0,57.0,,,,,0,29,70,0
68,2023-12-03 20:00:00,39.0,58.0,,,,,0,29,66,0
69,2023-12-03 21:00:00,27.4,46.0,,,,,0,29,66,0
70,2023-12-03 22:00:00,25.7,40.0,,,,,0,28,68,0
71,2023-12-03 23:00:00,23.1,40.0,,,,,0,25,83,0
72,2023-12-04 00:00:00,19.0,29.0,,,,,0,26,82,0
73,2023-12-04 01:00:00,23.0,32.0,,,,,0,26,81,0
74,2023-12-04 02:00:00,26.0,33.0,,,,,0,25,80,0
75,2023-12-04 03:00:00,24.6,34.0,,,,,0,25,77,0
76,2023-12-04 04:00:00,20.3,28.0,,,,,0,26,75,0
77,2023-12-04 05:00:00,16.4,26.0,,,,,0,26,71,0
78,2023-12-04 06:00:00,12.1,24.0,,,,,0,26,70,0
79,2023-12-04 07:00:00,14.5,25.0,,,,,0,26,71,0
80,2023-12-04 08:00:00,13.3,29.0,,,,,0,26,71,0
81,2023-12-04 09:00:00,14.0,32.0,,,,,0,27,68,0
82,2023-12-04 10:00:00,13.2,29.0,,,,,0,29,63,0
83,2023-12-04 11:00:00,11.8,24.0,,,,,0,29,61,0
84,2023-12-04 12:00:00,14.5,23.0,,,,,0,29,62,0
85,2023-12-04 13:00:00,15.5,21.0,,,,,0,30,60,0
86,2023-12-04 14:00:00,13.5,20.0,,,,,0,30,61,0
87,2023-12-04 15:00:00,12.5,22.0,,,,,0,30,61,0
88,2023-12-04 16:00:00,13.2,24.0,,,,,0,30,64,0
89,2023-12-04 17:00:00,11.2,28.0,,,,,0,29,66,0
90,2023-12-04 18:00:00,13.3,32.0,,,,,0,29,68,0
91,2023-12-04 19:00:00,17.7,35.0,,,,,0,29,69,0
92,2023-12-04 20:00:00,18.8,35.0,,,,,0,28,73,0
93,2023-12-04 21:00:00,24.8,41.0,,,,,0,28,76,0
94,2023-12-04 22:00:00,25.6,37.0,,,,,0,26,83,0
95,2023-12-04 23:00:00,23.1,33.0,,,,,0,26,85,0
96,2023-12-05 00:00:00,25.2,34.0,,,,,0,26,85,0
97,2023-12-05 01:00:00,23.0,35.0,,,,,0,25,85,0
98,2023-12-05 02:00:00,23.2,33.0,,,,,0,25,86,0
99,2023-12-05 03:00:00,24.0,35.0,,,,,0,25,87,0
100,2023-12-05 04:00:00,24.6,35.0,,,,,0,25,85,0
101,2023-12-05 05:00:00,25.3,32.0,,,,,0,25,86,0
102,2023-12-05 06:00:00,24.7,34.0,,,,,0,25,84,0
103,2023-12-05 07:00:00,28.2,37.0,,,,,0,25,84,0
104,2023-12-05 08:00:00,23.6,35.0,,,,,0,27,74,0
105,2023-12-05 09:00:00,20.5,35.0,,,,,0,29,66,0
106,2023-12-05 10:00:00,21.0,38.0,,,,,0,30,60,0
107,2023-12-05 11:00:00,17.9,41.0,,,,,0,31,53,0
108,2023-12-05 12:00:00,17.6,31.0,,,,,0,32,50,0
109,2023-12-05 13:00:00,20.8,30.0,,,,,0,33,48,0
110,2023-12-05 14:00:00,17.5,32.0,,,,,0,33,47,0
111,2023-12-05 15:00:00,2.0,15.0,,,,,0,33,47,0
112,2023-12-05 16:00:00,13.0,38.0,,,,,0,33,48,0
113,2023-12-05 17:00:00,13.5,36.0,,,,,0,30,56,0
114,2023-12-05 18:00:00,18.2,35.0,,,,,0,29,64,0
115,2023-12-05 19:00:00,27.2,41.0,,,,,0,29,65,0
116,2023-12-05 20:00:00,26.9,41.0,,,,,0,27,76,0
117,2023-12-05 21:00:00,26.2,41.0,,,,,0,27,76,0
118,2023-12-05 22:00:00,31.6,52.0,,,,,0,26,78,0
119,2023-12-05 23:00:00,29.2,46.0,,,,,0,26,78,0
120,2023-12-06 00:00:00,27.5,43.0,,,,,0,26,81,0
121,2023-12-06 01:00:00,28.4,40.0,,,,,0,26,82,0
122,2023-12-06 02:00:00,28.3,39.0,,,,,0,25,82,0
123,2023-12-06 03:00:00,30.6,40.0,,,,,0,25,81,0
124,2023-12-06 04:00:00,26.7,31.0,,,,,0,25,82,0
125,2023-12-06 05:00:00,23.6,36.0,,,,,0,25,81,0
126,2023-12-06 06:00:00,17.5,33.0,,,,,0,25,80,0
127,2023-12-06 07:00:00,19.2,37.0,,,,,0,26,78,0
128,2023-12-06 08:00:00,18.9,38.0,,,,,0,28,70,0
129,2023-12-06 09:00:00,16.0,31.0,,,,,0,30,61,0
130,2023-12-06 10:00:00,16.0,28.0,,,,,0,31,55,0
131,2023-12-06 11:00:00,16.8,32.0,,,,,0,33,51,0
132,2023-12-06 12:00:00,17.4,29.0,,,,,0,33,48,0
133,2023-12-06 13:00:00,13.3,23.0,,,,,0,34,46,0
134,2023-12-06 14:00:00,13.2,23.0,,,,,0,34,43,0
135,2023-12-06 15:00:00,12.8,25.0,,,,,0,34,44,0
136,2023-12-06 16:00:00,15.4,24.0,,,,,0,34,45,0
137,2023-12-06 17:00:00,9.8,27.0,,,,,0,32,53,0
138,2023-12-06 18:00:00,16.0,39.0,,,,,0,30,64,0
139,2023-12-06 19:00:00,26.7,51.0,,,,,0,29,68,0
140,2023-12-06 20:00:00,27.6,52.0,,,,,0,29,71,0
141,2023-12-06 21:00:00,30.1,51.0,,,,,0,28,70,0
142,2023-12-06 22:00:00,22.8,37.0,,,,,0,26,74,0
143,2023-12-06 23:00:00,14.6,31.0,,,,,0,26,75,0
144,2023-12-07 00:00:00,9.7,27.0,,,,,0,25,82,0
145,2023-12-07 01:00:00,14.3,31.0,,,,,0,25,83,0
146,2023-12-07 02:00:00,15.2,38.0,,,,,0,25,85,0
147,2023-12-07 03:00:00,13.5,23.0,,,,,0,25,84,0
148,2023-12-07 04:00:00,15.8,23.0,,,,,0,25,81,0
149,2023-12-07 05:00:00,17.1,25.0,,,,,0,25,77,0
150,2023-12-07 06:00:00,14.1,23.0,,,,,0,25,76,0
151,2023-12-07 07:00:00,12.7,22.0,,,,,0,25,71,0
152,2023-12-07 08:00:00,11.7,23.0,,,,,0,26,64,0
153,2023-12-07 09:00:00,10.8,28.0,,,,,0,27,59,0
154,2023-12-07 10:00:00,10.7,32.0,,,,,0,28,57,0
155,2023-12-07 11:00:00,10.5,29.0,,,,,0,29,56,0
156,2023-12-07 12:00:00,12.3,32.0,,,,,0,29,55,0
157,2023-12-07 13:00:00,13.3,29.0,,,,,0,30,55,0
158,2023-12-07 14:00:00,13.4,28.0,,,,,0,30,55,0
159,2023-12-07 15:00:00,11.7,22.0,,,,,0,30,57,0
160,2023-12-07 16:00:00,10.9,25.0,,,,,0,29,59,0
161,2023-12-07 17:00:00,12.4,30.0,,,,,0,28,61,0
162,2023-12-07 18:00:00,19.7,41.0,,,,,0,28,65,0
163,2023-12-07 19:00:00,26.7,56.0,,,,,0,27,69,0
164,2023-12-07 20:00:00,34.6,58.0,,,,,0,26,71,0
165,2023-12-07 21:00:00,51.0,81.0,,,,,0,26,74,0
166,2023-12-07 22:00:00,30.1,47.0,,,,,0,25,76,0
167,2023-12-07 23:00:00,24.2,38.0,,,,,0,25,79,0
168,2023-12-08 00:00:00,23.6,42.0,,,,,0,24,80,0
169,2023-12-08 01:00:00,28.5,45.0,,,,,0,24,81,0
170,2023-12-08 02:00:00,29.4,39.0,,,,,0,24,82,0
171,2023-12-08 03:00:00,27.2,34.0,,,,,0,24,83,0
172,2023-12-08 04:00:00,29.8,38.0,,,,,0,23,83,0
173,2023-12-08 05:00:00,36.6,46.0,,,,,0,23,82,0
