,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,14.6,,16.0,,,0.0,0,28,0,19
1,2023-12-01 01:00:00,14.7,,17.0,,,0.0,0,28,0,78
2,2023-12-01 02:00:00,20.0,,17.0,,,1.0,0,27,0,62
3,2023-12-01 03:00:00,16.2,,16.0,,,2.0,0,28,0,52
4,2023-12-01 04:00:00,16.2,,17.0,,,1.0,0,28,0,54
5,2023-12-01 05:00:00,11.8,,17.0,,,1.0,1,28,0,75
6,2023-12-01 06:00:00,15.4,,11.0,,,1.0,2,28,0,86
7,2023-12-01 07:00:00,11.3,,7.0,,,1.0,1,29,0,82
8,2023-12-01 08:00:00,14.3,,11.0,,,1.0,2,31,0,90
9,2023-12-01 09:00:00,14.5,,16.0,,,1.0,2,33,0,85
10,2023-12-01 10:00:00,19.9,,16.0,,,0.0,3,34,0,83
11,2023-12-01 11:00:00,14.8,,17.0,,,0.0,3,34,0,81
12,2023-12-01 12:00:00,10.6,,19.0,,,0.0,2,35,0,83
13,2023-12-01 13:00:00,8.3,,,,,,2,35,0,92
14,2023-12-01 14:00:00,8.7,,19.0,,,1.0,2,36,0,85
15,2023-12-01 15:00:00,6.9,,18.0,,,1.0,2,34,0,92
16,2023-12-01 16:00:00,5.1,,12.0,,,1.0,2,34,0,93
17,2023-12-01 17:00:00,11.9,,11.0,,,1.0,1,33,0,89
18,2023-12-01 18:00:00,9.2,,12.0,,,1.0,0,31,0,83
19,2023-12-01 19:00:00,6.4,,12.0,,,1.0,1,30,0,69
20,2023-12-01 20:00:00,8.0,,15.0,,,1.0,1,30,0,74
21,2023-12-01 21:00:00,12.6,,6.0,,,2.0,0,29,0,80
22,2023-12-01 22:00:00,15.9,,3.0,,,2.0,0,29,0,71
23,2023-12-01 23:00:00,11.8,,3.0,,,2.0,1,28,0,77
24,2023-12-02 00:00:00,19.6,,9.0,,,2.0,1,28,0,81
25,2023-12-02 01:00:00,14.4,,8.0,,,1.0,2,28,0,83
26,2023-12-02 02:00:00,18.8,,4.0,,,1.0,1,27,0,78
27,2023-12-02 03:00:00,14.1,,3.0,,,0.0,1,27,0,84
28,2023-12-02 04:00:00,10.6,,4.0,,,0.0,1,27,0,85
29,2023-12-02 05:00:00,9.4,,4.0,,,0.0,0,26,0,70
30,2023-12-02 06:00:00,6.8,,3.0,,,1.0,1,26,0,66
31,2023-12-02 07:00:00,8.9,,5.0,,,0.0,1,27,0,87
32,2023-12-02 08:00:00,6.8,,10.0,,,0.0,1,30,0,75
33,2023-12-02 09:00:00,9.5,,16.0,,,0.0,2,33,0,83
34,2023-12-02 10:00:00,7.6,,19.0,,,0.0,2,34,0,88
35,2023-12-02 11:00:00,5.9,,19.0,,,0.0,3,35,0,102
36,2023-12-02 12:00:00,4.3,,,,,,3,35,0,109
37,2023-12-02 13:00:00,3.3,,20.0,,,0.0,3,35,0,111
38,2023-12-02 14:00:00,3.4,,36.0,,,0.0,2,34,0,111
39,2023-12-02 15:00:00,6.0,,25.0,,,1.0,2,34,0,114
40,2023-12-02 16:00:00,5.1,,20.0,,,1.0,2,34,0,108
41,2023-12-02 17:00:00,4.0,,13.0,,,1.0,1,33,0,113
42,2023-12-02 18:00:00,3.4,,11.0,,,0.0,0,31,0,107
43,2023-12-02 19:00:00,5.2,,10.0,,,1.0,0,30,0,84
44,2023-12-02 20:00:00,5.0,,4.0,,,1.0,0,30,0,76
45,2023-12-02 21:00:00,6.8,,1.0,,,1.0,0,29,0,63
46,2023-12-02 22:00:00,9.3,,4.0,,,1.0,0,29,0,66
47,2023-12-02 23:00:00,8.4,,5.0,,,1.0,0,29,0,60
48,2023-12-03 00:00:00,6.6,,6.0,,,1.0,0,28,0,60
49,2023-12-03 01:00:00,10.6,,12.0,,,1.0,1,28,0,73
50,2023-12-03 02:00:00,12.5,,12.0,,,1.0,1,28,0,84
51,2023-12-03 03:00:00,8.6,,13.0,,,1.0,2,28,0,82
52,2023-12-03 04:00:00,6.2,,14.0,,,1.0,1,28,0,83
53,2023-12-03 05:00:00,5.4,,18.0,,,1.0,2,28,0,85
54,2023-12-03 06:00:00,4.6,,16.0,,,1.0,2,27,0,81
55,2023-12-03 07:00:00,4.0,,15.0,,,1.0,2,28,0,83
56,2023-12-03 08:00:00,3.5,,18.0,,,1.0,3,29,0,82
57,2023-12-03 09:00:00,7.6,,25.0,,,1.0,3,32,0,83
58,2023-12-03 10:00:00,10.0,,26.0,,,1.0,2,34,0,78
59,2023-12-03 11:00:00,7.5,,,,,,2,33,0,87
60,2023-12-03 12:00:00,8.6,,23.0,,,1.0,3,35,0,100
61,2023-12-03 13:00:00,6.4,,21.0,,,1.0,3,35,0,102
62,2023-12-03 14:00:00,7.3,,27.0,,,1.0,3,35,0,103
63,2023-12-03 15:00:00,5.1,,23.0,,,0.0,1,33,0,94
64,2023-12-03 16:00:00,3.9,,25.0,,,0.0,1,32,0,102
65,2023-12-03 17:00:00,4.7,,26.0,,,0.0,1,32,0,94
66,2023-12-03 18:00:00,4.7,,20.0,,,0.0,0,31,0,110
67,2023-12-03 19:00:00,4.8,,17.0,,,0.0,0,30,0,135
68,2023-12-03 20:00:00,11.5,,10.0,,,0.0,0,30,0,104
69,2023-12-03 21:00:00,15.2,,0.0,,,0.0,0,29,0,106
70,2023-12-03 22:00:00,18.9,,0.0,,,0.0,0,29,0,53
71,2023-12-03 23:00:00,14.1,,6.0,,,0.0,0,29,0,103
72,2023-12-04 00:00:00,10.7,,4.0,,,0.0,0,29,0,48
73,2023-12-04 01:00:00,9.9,,10.0,,,0.0,0,29,0,69
74,2023-12-04 02:00:00,16.7,,5.0,,,1.0,1,29,0,79
75,2023-12-04 03:00:00,13.1,,6.0,,,0.0,1,28,0,83
76,2023-12-04 04:00:00,14.8,,14.0,,,0.0,1,28,0,85
77,2023-12-04 05:00:00,20.7,,11.0,,,0.0,0,27,0,89
78,2023-12-04 06:00:00,16.4,,8.0,,,0.0,0,27,0,88
79,2023-12-04 07:00:00,12.7,,6.0,,,0.0,0,28,0,90
80,2023-12-04 08:00:00,13.0,,17.0,,,0.0,1,29,0,93
81,2023-12-04 09:00:00,13.1,,24.0,,,0.0,2,30,0,115
82,2023-12-04 10:00:00,14.6,,,,,,1,31,0,108
83,2023-12-04 11:00:00,11.1,,21.0,,,0.0,1,32,0,113
84,2023-12-04 12:00:00,8.3,,25.0,,,0.0,1,33,0,159
85,2023-12-04 13:00:00,5.9,,23.0,,,0.0,1,34,0,149
86,2023-12-04 14:00:00,5.2,,24.0,,,0.0,1,35,0,76
87,2023-12-04 15:00:00,4.6,,17.0,,,0.0,0,33,0,96
88,2023-12-04 16:00:00,4.0,,16.0,,,0.0,0,33,0,281
89,2023-12-04 17:00:00,10.0,,25.0,,,0.0,1,31,0,264
90,2023-12-04 18:00:00,14.7,,25.0,,,0.0,1,29,0,290
91,2023-12-04 19:00:00,12.2,,9.0,,,0.0,0,29,0,293
92,2023-12-04 20:00:00,10.6,,8.0,,,7.0,0,28,0,320
93,2023-12-04 21:00:00,13.7,,2.0,,,3.0,0,28,0,85
94,2023-12-04 22:00:00,20.7,,0.0,,,1.0,0,27,0,57
95,2023-12-04 23:00:00,19.3,,2.0,,,1.0,0,27,0,71
96,2023-12-05 00:00:00,14.3,,8.0,,,1.0,0,27,0,68
97,2023-12-05 01:00:00,15.4,,15.0,,,1.0,0,27,0,66
98,2023-12-05 02:00:00,15.4,,3.0,,,1.0,0,27,0,22
99,2023-12-05 03:00:00,15.1,,4.0,,,1.0,0,27,0,82
100,2023-12-05 04:00:00,10.8,,7.0,,,1.0,0,27,0,129
101,2023-12-05 05:00:00,8.2,,5.0,,,1.0,0,27,0,147
102,2023-12-05 06:00:00,11.2,,0.0,,,1.0,0,27,0,81
103,2023-12-05 07:00:00,10.2,,1.0,,,1.0,1,29,0,83
104,2023-12-05 08:00:00,14.2,,13.0,,,2.0,1,32,0,82
105,2023-12-05 09:00:00,12.2,,,,,,2,34,0,102
106,2023-12-05 10:00:00,8.9,,40.0,,,1.0,3,34,0,115
107,2023-12-05 11:00:00,10.2,,39.0,,,1.0,3,35,0,114
108,2023-12-05 12:00:00,7.7,,30.0,,,1.0,2,35,0,122
109,2023-12-05 13:00:00,8.1,,24.0,,,1.0,2,35,0,124
110,2023-12-05 14:00:00,6.2,,25.0,,,1.0,1,35,0,127
111,2023-12-05 15:00:00,4.8,,23.0,,,1.0,2,32,0,193
112,2023-12-05 16:00:00,4.4,,14.0,,,1.0,1,28,0,314
113,2023-12-05 17:00:00,15.9,,16.0,,,1.0,0,28,0,150
114,2023-12-05 18:00:00,11.7,,8.0,,,1.0,0,27,0,149
115,2023-12-05 19:00:00,8.9,,3.0,,,1.0,0,27,0,316
116,2023-12-05 20:00:00,7.8,,4.0,,,1.0,0,27,0,71
117,2023-12-05 21:00:00,16.1,,2.0,,,1.0,0,28,0,53
118,2023-12-05 22:00:00,11.9,,0.0,,,1.0,0,28,0,77
119,2023-12-05 23:00:00,9.2,,0.0,,,1.0,0,28,0,103
120,2023-12-06 00:00:00,10.3,,2.0,,,1.0,0,28,0,81
121,2023-12-06 01:00:00,11.6,,9.0,,,1.0,0,27,0,154
122,2023-12-06 02:00:00,16.1,,1.0,,,1.0,0,27,0,310
123,2023-12-06 03:00:00,15.2,,1.0,,,1.0,0,27,0,323
124,2023-12-06 04:00:00,13.0,,3.0,,,1.0,0,27,0,330
125,2023-12-06 05:00:00,9.8,,4.0,,,1.0,0,26,0,18
126,2023-12-06 06:00:00,13.0,,3.0,,,1.0,0,26,0,76
127,2023-12-06 07:00:00,17.6,,1.0,,,2.0,0,27,0,101
128,2023-12-06 08:00:00,13.2,,,,,,0,30,0,92
129,2023-12-06 09:00:00,9.9,,18.0,,,2.0,0,32,0,117
130,2023-12-06 10:00:00,15.6,,32.0,,,1.0,1,33,0,129
131,2023-12-06 11:00:00,12.0,,43.0,,,1.0,1,33,0,122
132,2023-12-06 12:00:00,13.6,,41.0,,,1.0,1,34,0,116
133,2023-12-06 13:00:00,12.0,,28.0,,,1.0,1,35,0,165
134,2023-12-06 14:00:00,9.1,,25.0,,,1.0,0,35,0,193
135,2023-12-06 15:00:00,11.8,,25.0,,,1.0,0,35,0,194
136,2023-12-06 16:00:00,9.3,,59.0,,,1.0,1,33,0,248
137,2023-12-06 17:00:00,20.0,,69.0,,,1.0,1,32,0,255
138,2023-12-06 18:00:00,20.5,,48.0,,,1.0,0,31,0,243
139,2023-12-06 19:00:00,21.0,,26.0,,,1.0,0,30,0,282
140,2023-12-06 20:00:00,25.2,,17.0,,,1.0,0,30,0,205
141,2023-12-06 21:00:00,28.3,,8.0,,,1.0,0,29,0,58
142,2023-12-06 22:00:00,34.5,,10.0,,,1.0,0,28,0,26
143,2023-12-06 23:00:00,29.4,,7.0,,,1.0,0,28,0,74
144,2023-12-07 00:00:00,33.6,,1.0,,,1.0,0,28,0,124
145,2023-12-07 01:00:00,36.5,,2.0,,,1.0,0,27,0,73
146,2023-12-07 02:00:00,37.2,,4.0,,,1.0,0,27,0,68
147,2023-12-07 03:00:00,33.4,,19.0,,,1.0,0,27,0,99
148,2023-12-07 04:00:00,35.2,,0.0,,,1.0,0,27,0,78
149,2023-12-07 05:00:00,26.7,,0.0,,,1.0,1,26,0,69
150,2023-12-07 06:00:00,24.9,,4.0,,,2.0,1,26,0,81
151,2023-12-07 07:00:00,18.0,,,,,,2,28,0,85
152,2023-12-07 08:00:00,13.1,,9.0,,,1.0,2,30,0,86
153,2023-12-07 09:00:00,9.1,,15.0,,,1.0,2,32,0,84
154,2023-12-07 10:00:00,12.6,,38.0,,,1.0,2,33,0,107
155,2023-12-07 11:00:00,11.5,,26.0,,,1.0,2,34,0,114
156,2023-12-07 12:00:00,9.0,,25.0,,,1.0,2,35,0,120
157,2023-12-07 13:00:00,12.1,,27.0,,,1.0,2,35,0,128
158,2023-12-07 14:00:00,9.9,,23.0,,,1.0,2,35,0,90
159,2023-12-07 15:00:00,7.1,,36.0,,,0.0,1,34,0,85
160,2023-12-07 16:00:00,5.3,,38.0,,,0.0,1,33,0,86
161,2023-12-07 17:00:00,4.2,,32.0,,,0.0,2,31,0,87
162,2023-12-07 18:00:00,6.6,,26.0,,,0.0,2,30,0,86
163,2023-12-07 19:00:00,5.1,,15.0,,,0.0,0,29,0,96
164,2023-12-07 20:00:00,6.4,,7.0,,,0.0,0,29,0,73
165,2023-12-07 21:00:00,6.6,,4.0,,,1.0,0,28,0,81
166,2023-12-07 22:00:00,5.3,,13.0,,,1.0,0,27,0,72
167,2023-12-07 23:00:00,10.5,,16.0,,,1.0,0,27,0,80
168,2023-12-08 00:00:00,16.5,,5.0,,,1.0,0,26,0,73
169,2023-12-08 01:00:00,13.3,,5.0,,,1.0,0,26,0,340
170,2023-12-08 02:00:00,11.2,,6.0,,,1.0,0,26,0,56
171,2023-12-08 03:00:00,8.5,,26.0,,,1.0,0,25,0,75
172,2023-12-08 04:00:00,16.9,,0.0,,,1.0,0,25,0,339
173,2023-12-08 05:00:00,13.9,,0.0,,,1.0,0,25,0,55
174,2023-12-08 06:00:00,10.5,,,,,,0,25,0,84
175,2023-12-08 07:00:00,16.6,,4.0,,,2.0,0,27,0,83
176,2023-12-08 08:00:00,13.8,,15.0,,,2.0,0,30,0,109
177,2023-12-08 09:00:00,19.1,,33.0,,,2.0,1,32,0,120
178,2023-12-08 10:00:00,18.9,,49.0,,,1.0,2,34,0,130
179,2023-12-08 11:00:00,14.2,,30.0,,,1.0,1,35,0,177
180,2023-12-08 12:00:00,12.2,,32.0,,,1.0,2,36,0,182
181,2023-12-08 13:00:00,9.3,,32.0,,,1.0,1,36,0,161
182,2023-12-08 14:00:00,9.6,,26.0,,,1.0,1,35,0,163
183,2023-12-08 15:00:00,11.4,,42.0,,,1.0,1,34,0,256
184,2023-12-08 16:00:00,16.0,,62.0,,,1.0,2,34,0,287
185,2023-12-08 17:00:00,19.6,,43.0,,,1.0,1,32,0,287
186,2023-12-08 18:00:00,15.8,,25.0,,,1.0,0,31,0,263
187,2023-12-08 19:00:00,16.3,,31.0,,,1.0,0,30,0,243
188,2023-12-08 20:00:00,16.4,,25.0,,,0.0,0,29,0,277
189,2023-12-08 21:00:00,19.1,,17.0,,,0.0,0,29,0,284
190,2023-12-08 22:00:00,25.8,,8.0,,,1.0,0,28,0,101
191,2023-12-08 23:00:00,23.2,,6.0,,,0.0,0,27,0,93
192,2023-12-09 00:00:00,28.3,,6.0,,,1.0,0,27,0,37
193,2023-12-09 01:00:00,32.9,,8.0,,,1.0,0,26,0,38
194,2023-12-09 02:00:00,33.1,,4.0,,,1.0,0,26,0,73
195,2023-12-09 03:00:00,26.5,,2.0,,,1.0,0,25,0,88
196,2023-12-09 04:00:00,28.3,,3.0,,,1.0,0,25,0,88
197,2023-12-09 05:00:00,24.6,,,,,,0,25,0,40
198,2023-12-09 06:00:00,27.7,,2.0,,,1.0,0,25,0,74
199,2023-12-09 07:00:00,30.7,,1.0,,,1.0,0,26,0,69
