,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,17.1,30.0,25.0,0.3,1.0,0.0,1,32,80,33
1,2023-12-01 01:00:00,22.1,38.0,28.0,0.3,0.0,0.0,2,31,91,22
2,2023-12-01 02:00:00,21.7,38.0,24.0,0.31,3.0,0.0,1,30,91,13
3,2023-12-01 03:00:00,25.0,43.0,23.0,0.32,1.0,0.0,1,30,92,9
4,2023-12-01 04:00:00,19.9,34.0,24.0,0.32,2.0,0.0,2,31,90,14
5,2023-12-01 05:00:00,15.0,26.0,24.0,0.3,1.0,0.0,2,31,89,11
6,2023-12-01 06:00:00,17.5,30.0,23.0,0.28,0.0,0.0,3,31,87,17
7,2023-12-01 07:00:00,16.6,29.0,21.0,,2.0,,2,32,84,12
8,2023-12-01 08:00:00,18.0,31.0,20.0,0.26,,0.0,2,34,76,13
9,2023-12-01 09:00:00,14.4,25.0,,0.24,0.0,0.0,2,35,69,21
10,2023-12-01 10:00:00,11.1,19.0,20.0,0.21,0.0,0.0,3,37,61,64
11,2023-12-01 11:00:00,8.9,15.0,21.0,0.21,0.0,0.0,3,37,59,76
12,2023-12-01 12:00:00,8.2,14.0,22.0,0.22,0.0,0.0,3,38,59,62
13,2023-12-01 13:00:00,9.3,16.0,22.0,0.21,0.0,0.0,3,38,61,41
14,2023-12-01 14:00:00,8.1,14.0,23.0,0.21,0.0,0.0,3,38,60,28
15,2023-12-01 15:00:00,6.7,12.0,24.0,0.23,0.0,0.0,3,37,61,37
16,2023-12-01 16:00:00,6.9,12.0,22.0,0.26,4.0,0.0,2,36,63,33
17,2023-12-01 17:00:00,6.6,11.0,23.0,0.26,3.0,0.0,2,35,66,28
18,2023-12-01 18:00:00,8.3,14.0,20.0,0.29,4.0,0.0,2,34,70,21
19,2023-12-01 19:00:00,7.5,13.0,13.0,0.35,11.0,0.0,1,34,73,36
20,2023-12-01 20:00:00,9.2,16.0,17.0,0.28,3.0,0.0,2,33,73,21
21,2023-12-01 21:00:00,8.7,15.0,15.0,0.26,5.0,0.0,1,33,77,15
22,2023-12-01 22:00:00,11.0,19.0,18.0,0.24,0.0,0.0,1,32,79,12
23,2023-12-01 23:00:00,9.3,16.0,18.0,0.21,0.0,0.0,1,32,80,11
24,2023-12-02 00:00:00,7.6,13.0,17.0,0.22,0.0,0.0,1,31,81,18
25,2023-12-02 01:00:00,11.8,20.0,18.0,0.21,0.0,0.0,2,31,82,14
26,2023-12-02 02:00:00,10.3,18.0,20.0,0.14,0.0,0.0,3,31,82,17
27,2023-12-02 03:00:00,8.7,15.0,19.0,0.12,0.0,0.0,3,31,85,15
28,2023-12-02 04:00:00,7.6,13.0,18.0,0.12,0.0,0.0,3,31,87,14
29,2023-12-02 05:00:00,10.0,17.0,17.0,0.13,0.0,0.0,3,30,89,12
30,2023-12-02 06:00:00,9.7,17.0,16.0,,1.0,,2,30,90,14
31,2023-12-02 07:00:00,10.1,18.0,15.0,0.14,,0.0,3,31,85,16
32,2023-12-02 08:00:00,9.3,16.0,,0.14,0.0,0.0,3,33,78,17
33,2023-12-02 09:00:00,11.0,19.0,21.0,0.14,0.0,0.0,3,35,70,27
34,2023-12-02 10:00:00,11.1,19.0,24.0,0.12,0.0,0.0,4,36,61,64
35,2023-12-02 11:00:00,9.1,16.0,25.0,0.12,0.0,0.0,4,37,58,70
36,2023-12-02 12:00:00,7.4,13.0,25.0,0.13,0.0,0.0,4,37,59,56
37,2023-12-02 13:00:00,6.4,11.0,25.0,0.13,0.0,1.0,4,37,57,69
38,2023-12-02 14:00:00,9.6,17.0,24.0,0.13,1.0,1.0,2,37,61,38
39,2023-12-02 15:00:00,8.8,15.0,26.0,0.13,1.0,1.0,3,37,60,69
40,2023-12-02 16:00:00,7.3,13.0,23.0,0.15,2.0,1.0,2,35,66,31
41,2023-12-02 17:00:00,13.0,22.0,22.0,0.17,3.0,1.0,2,34,70,22
42,2023-12-02 18:00:00,12.9,22.0,18.0,0.23,4.0,1.0,1,34,73,16
43,2023-12-02 19:00:00,11.3,20.0,18.0,0.21,4.0,0.0,1,33,75,16
44,2023-12-02 20:00:00,15.6,27.0,17.0,0.24,3.0,0.0,1,33,77,5
45,2023-12-02 21:00:00,13.1,23.0,17.0,0.23,2.0,1.0,1,33,78,14
46,2023-12-02 22:00:00,13.0,22.0,18.0,0.2,1.0,0.0,1,32,79,12
47,2023-12-02 23:00:00,12.7,22.0,19.0,0.16,0.0,1.0,2,32,79,11
48,2023-12-03 00:00:00,13.8,24.0,20.0,0.14,0.0,0.0,1,32,79,12
49,2023-12-03 01:00:00,12.8,22.0,16.0,0.15,0.0,0.0,0,32,83,358
