,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,18.9,32.0,22.0,0.31,6.0,1.0,1,28,67,323
1,2023-12-01 01:00:00,19.4,30.0,24.0,,,,1,28,66,332
2,2023-12-01 02:00:00,17.9,34.0,24.0,0.23,,1.0,1,28,67,349
3,2023-12-01 03:00:00,16.8,34.0,,0.2,2.0,1.0,3,28,68,30
4,2023-12-01 04:00:00,14.8,34.0,21.0,0.2,2.0,1.0,2,28,72,19
5,2023-12-01 05:00:00,12.3,33.0,19.0,0.2,2.0,1.0,2,27,76,17
6,2023-12-01 06:00:00,14.0,35.0,15.0,0.21,4.0,1.0,1,27,79,9
7,2023-12-01 07:00:00,12.7,29.0,16.0,0.21,5.0,1.0,2,28,74,18
8,2023-12-01 08:00:00,12.7,22.0,16.0,0.21,6.0,1.0,1,28,71,12
9,2023-12-01 09:00:00,21.4,27.0,18.0,0.18,5.0,1.0,2,30,65,21
10,2023-12-01 10:00:00,21.5,23.0,19.0,0.18,4.0,1.0,3,31,61,28
11,2023-12-01 11:00:00,15.9,20.0,19.0,0.18,4.0,1.0,2,32,57,13
12,2023-12-01 12:00:00,11.7,17.0,19.0,0.16,4.0,1.0,2,33,54,13
13,2023-12-01 13:00:00,9.2,20.0,19.0,0.17,5.0,1.0,2,33,52,25
14,2023-12-01 14:00:00,7.1,17.0,18.0,0.17,5.0,1.0,1,33,51,22
15,2023-12-01 15:00:00,5.7,16.0,17.0,0.19,7.0,1.0,1,33,54,21
16,2023-12-01 16:00:00,4.6,13.0,15.0,0.2,8.0,1.0,1,32,55,28
17,2023-12-01 17:00:00,3.6,11.0,11.0,0.25,13.0,1.0,1,31,60,36
18,2023-12-01 18:00:00,3.1,15.0,12.0,0.25,10.0,1.0,0,30,65,17
19,2023-12-01 19:00:00,2.8,18.0,11.0,0.23,10.0,0.0,1,29,64,29
20,2023-12-01 20:00:00,2.8,17.0,7.0,0.26,12.0,0.0,0,29,66,16
21,2023-12-01 21:00:00,2.9,26.0,7.0,0.3,11.0,0.0,0,28,70,358
22,2023-12-01 22:00:00,3.7,22.0,12.0,0.16,5.0,0.0,0,27,74,359
23,2023-12-01 23:00:00,4.1,18.0,10.0,0.25,9.0,0.0,0,27,72,349
24,2023-12-02 00:00:00,4.2,17.0,14.0,,2.0,,1,27,70,21
25,2023-12-02 01:00:00,4.9,14.0,15.0,0.1,,,2,27,72,38
26,2023-12-02 02:00:00,5.2,12.0,,0.11,1.0,0.0,1,27,74,21
27,2023-12-02 03:00:00,5.1,13.0,16.0,0.12,2.0,0.0,1,26,78,9
28,2023-12-02 04:00:00,5.0,14.0,14.0,0.13,3.0,0.0,0,26,81,3
29,2023-12-02 05:00:00,4.9,14.0,13.0,0.13,3.0,0.0,0,25,81,5
30,2023-12-02 06:00:00,4.8,12.0,12.0,0.13,3.0,0.0,0,26,80,14
31,2023-12-02 07:00:00,4.9,16.0,13.0,0.13,3.0,0.0,1,27,75,20
32,2023-12-02 08:00:00,5.2,14.0,15.0,0.16,3.0,0.0,2,28,70,16
