,Date,PM10
0,2024-01-01,22.79
1,2024-01-02,22.74
2,2024-01-03,22.08
3,2024-01-04,24.92
4,2024-01-05,43.46
5,2024-01-06,43.29
6,2024-01-07,32.18
7,2024-01-08,33.83
8,2024-01-09,32.71
9,2024-01-10,27.96
10,2024-01-11,30.67
11,2024-01-12,34.38
12,2024-01-13,37.58
13,2024-01-14,40.75
14,2024-01-15,37.67
15,2024-01-16,27.25
16,2024-01-17,44.17
17,2024-01-18,40.12
18,2024-01-19,39.12
19,2024-01-20,35.96
20,2024-01-21,36.29
21,2024-01-22,33.54
22,2024-01-23,16.54
23,2024-01-24,25.58
24,2024-01-25,24.5
25,2024-01-26,36.67
26,2024-01-27,44.5
27,2024-01-28,37.58
28,2024-01-29,41.0
29,2024-01-30,38.17
30,2024-01-31,31.71
31,2024-02-01,28.43
32,2024-02-02,25.25
33,2024-02-03,26.0
34,2024-02-04,29.96
35,2024-02-05,37.12
36,2024-02-06,38.0
37,2024-02-07,33.29
38,2024-02-08,33.0
39,2024-02-09,31.92
40,2024-02-10,34.21
41,2024-02-11,44.33
42,2024-02-12,47.12
43,2024-02-13,46.58
44,2024-02-14,46.75
45,2024-02-15,37.33
46,2024-02-16,38.96
47,2024-02-17,36.79
48,2024-02-18,38.83
49,2024-02-19,29.08
50,2024-02-20,29.12
51,2024-02-21,22.17
52,2024-02-22,22.54
53,2024-02-23,21.96
54,2024-02-24,22.33
55,2024-02-25,27.92
56,2024-02-26,33.75
57,2024-02-27,38.29
58,2024-02-28,35.12
59,2024-02-29,37.0
60,2024-03-01,36.88
61,2024-03-02,34.75
62,2024-03-03,34.04
63,2024-03-04,37.54
64,2024-03-05,40.67
65,2024-03-06,41.12
66,2024-03-07,43.42
67,2024-03-08,39.58
68,2024-03-09,30.54
69,2024-03-12,46.18
70,2024-03-13,47.42
71,2024-03-14,47.95
72,2024-03-15,47.33
73,2024-03-16,47.29
74,2024-03-17,46.87
75,2024-03-18,46.41
76,2024-03-19,46.4
