,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD,Date,Time
0,11.5,20.0,23.0,0.2,1.0,0.0,2,28.0,86,15,2024-01-01,00:00:00
1,11.2,18.0,22.0,0.27,2.0,0.0,2,27.0,88,352,2024-01-01,01:00:00
2,9.8,17.0,19.0,0.26,3.0,0.0,2,27.0,90,348,2024-01-01,02:00:00
3,9.7,17.0,17.0,0.26,2.0,0.0,2,26.0,91,1,2024-01-01,03:00:00
4,8.7,16.0,17.0,0.26,2.0,0.0,2,27.0,90,3,2024-01-01,04:00:00
5,8.6,17.0,11.0,0.34,3.0,0.0,2,26.0,93,344,2024-01-01,05:00:00
6,11.4,20.0,8.0,0.37,4.0,0.0,1,26.0,94,328,2024-01-01,06:00:00
7,11.2,22.0,11.0,0.32,3.0,0.0,2,27.0,90,3,2024-01-01,07:00:00
8,13.9,27.0,18.0,0.27,1.0,0.0,3,30.0,78,37,2024-01-01,08:00:00
9,21.0,41.0,20.0,0.25,2.29,0.0,4,33.0,68,54,2024-01-01,09:00:00
10,16.5,34.0,22.0,0.2,1.0,0.14,4,34.0,64,61,2024-01-01,10:00:00
11,14.4,28.0,22.86,0.29,1.0,0.0,5,35.0,61,60,2024-01-01,11:00:00
12,11.2,24.0,27.0,0.27,1.0,0.0,5,35.0,59,66,2024-01-01,12:00:00
13,10.1,22.0,29.0,0.27,1.0,0.0,5,35.0,58,68,2024-01-01,13:00:00
14,9.7,21.0,30.0,0.27,1.0,0.0,5,35.0,57,64,2024-01-01,14:00:00
15,8.4,20.0,30.0,0.28,1.0,1.0,5,35.0,59,52,2024-01-01,15:00:00
16,8.6,19.0,31.0,0.28,1.0,1.0,5,34.0,60,51,2024-01-01,16:00:00
17,8.1,18.0,26.0,0.27,2.0,1.0,5,32.0,66,57,2024-01-01,17:00:00
18,8.7,17.0,22.0,0.27,2.0,0.0,3,30.0,71,54,2024-01-01,18:00:00
19,12.6,25.0,20.0,0.26,2.0,1.0,3,29.0,76,40,2024-01-01,19:00:00
20,16.3,32.0,19.0,0.26,1.0,1.0,3,29.0,80,29,2024-01-01,20:00:00
21,13.2,27.0,18.0,0.27,1.0,1.0,4,28.0,82,31,2024-01-01,21:00:00
22,11.7,24.0,17.0,0.26,1.0,1.0,3,28.0,83,20,2024-01-01,22:00:00
23,10.7,21.0,17.0,0.26,1.0,1.0,3,28.0,84,18,2024-01-01,23:00:00
24,9.6,19.0,17.0,0.23,1.0,0.0,3,28.0,85,17,2024-01-02,00:00:00
25,10.0,18.0,17.0,0.2,1.0,0.0,2,27.0,86,28,2024-01-02,01:00:00
26,10.6,17.0,16.0,0.17,1.0,0.0,1,27.0,87,357,2024-01-02,02:00:00
27,10.7,17.0,14.0,0.17,2.0,0.0,1,27.0,89,357,2024-01-02,03:00:00
28,12.8,25.0,12.0,0.17,3.0,0.0,2,26.0,91,348,2024-01-02,04:00:00
29,12.1,25.0,10.0,0.19,3.0,0.0,3,26.0,92,355,2024-01-02,05:00:00
35,19.4,41.0,26.0,0.05,1.0,0.0,6,34.0,60,66,2024-01-02,11:00:00
36,15.8,34.0,28.0,0.05,1.0,0.0,5,35.0,58,54,2024-01-02,12:00:00
37,13.1,28.0,30.0,0.05,1.0,0.0,5,35.0,55,65,2024-01-02,13:00:00
38,11.2,24.0,32.0,0.05,1.0,0.0,5,35.0,54,67,2024-01-02,14:00:00
39,10.0,21.0,33.0,0.05,1.0,0.0,5,36.0,54,55,2024-01-02,15:00:00
40,9.3,20.0,32.0,0.05,1.0,0.0,5,35.0,56,52,2024-01-02,16:00:00
41,8.9,18.0,31.0,0.05,2.0,0.0,5,32.0,62,50,2024-01-02,17:00:00
