,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,19.2,,,,,,0,0,0,3
1,2023-12-01 01:00:00,15.7,,,,,,0,0,0,3
2,2023-12-01 02:00:00,16.1,,,,,,0,0,0,3
3,2023-12-01 03:00:00,15.7,,,,,,0,0,0,3
4,2023-12-01 04:00:00,15.4,,,,,,0,0,0,3
5,2023-12-01 05:00:00,18.4,,,,,,0,0,0,3
6,2023-12-01 06:00:00,17.8,,,,,,0,0,0,3
7,2023-12-01 07:00:00,14.9,,,,,,0,0,0,3
8,2023-12-01 08:00:00,12.9,,,,,,0,0,0,2
9,2023-12-01 09:00:00,16.3,,,,,,0,0,0,3
10,2023-12-01 10:00:00,20.0,,,,,,0,0,0,3
11,2023-12-01 11:00:00,16.0,,,,,,0,0,0,3
12,2023-12-01 12:00:00,12.7,,,,,,0,0,0,3
13,2023-12-01 13:00:00,10.6,,,,,,0,0,0,2
14,2023-12-01 14:00:00,8.2,,,,,,0,0,0,3
15,2023-12-01 15:00:00,7.5,,,,,,0,0,0,2
16,2023-12-01 16:00:00,6.3,,,,,,0,0,0,3
17,2023-12-01 17:00:00,8.6,,,,,,0,0,0,3
18,2023-12-01 18:00:00,13.3,,,,,,0,0,0,2
19,2023-12-01 19:00:00,15.8,,,,,,0,0,0,3
20,2023-12-01 20:00:00,20.1,,,,,,0,0,0,3
21,2023-12-01 21:00:00,20.6,,,,,,0,0,0,3
22,2023-12-01 22:00:00,15.1,,,,,,0,0,0,3
23,2023-12-01 23:00:00,12.9,,,,,,0,0,0,2
24,2023-12-02 00:00:00,14.1,,,,,,0,0,0,3
25,2023-12-02 01:00:00,13.2,,,,,,0,0,0,3
26,2023-12-02 02:00:00,14.3,,,,,,0,0,0,3
27,2023-12-02 03:00:00,13.3,,,,,,0,0,0,3
28,2023-12-02 04:00:00,12.8,,,,,,0,0,0,3
29,2023-12-02 05:00:00,14.2,,,,,,0,0,0,3
30,2023-12-02 06:00:00,10.7,,,,,,0,0,0,3
31,2023-12-02 07:00:00,8.7,,,,,,0,0,0,3
32,2023-12-02 08:00:00,7.1,,,,,,0,0,0,3
33,2023-12-02 09:00:00,7.7,,,,,,0,0,0,2
34,2023-12-02 10:00:00,5.9,,,,,,0,0,0,2
35,2023-12-02 11:00:00,3.7,,,,,,0,0,0,3
36,2023-12-02 12:00:00,4.5,,,,,,0,0,0,3
37,2023-12-02 13:00:00,6.0,,,,,,0,0,0,3
38,2023-12-02 14:00:00,3.8,,,,,,0,0,0,3
39,2023-12-02 15:00:00,4.3,,,,,,0,0,0,3
40,2023-12-02 16:00:00,5.6,,,,,,0,0,0,3
41,2023-12-02 17:00:00,5.7,,,,,,0,0,0,3
42,2023-12-02 18:00:00,5.8,,,,,,0,0,0,3
43,2023-12-02 19:00:00,8.4,,,,,,0,0,0,3
44,2023-12-02 20:00:00,10.5,,,,,,0,0,0,3
45,2023-12-02 21:00:00,11.6,,,,,,0,0,0,3
46,2023-12-02 22:00:00,12.6,,,,,,0,0,0,3
47,2023-12-02 23:00:00,12.3,,,,,,0,0,0,3
48,2023-12-03 00:00:00,12.7,,,,,,0,0,0,3
49,2023-12-03 01:00:00,15.4,,,,,,0,0,0,3
50,2023-12-03 02:00:00,17.6,,,,,,0,0,0,3
51,2023-12-03 03:00:00,17.0,,,,,,0,0,0,3
52,2023-12-03 04:00:00,16.6,,,,,,0,0,0,3
53,2023-12-03 05:00:00,17.3,,,,,,0,0,0,3
54,2023-12-03 06:00:00,14.7,,,,,,0,0,0,3
55,2023-12-03 07:00:00,11.0,,,,,,0,0,0,3
56,2023-12-03 08:00:00,9.4,,,,,,0,0,0,3
57,2023-12-03 09:00:00,8.7,,,,,,0,0,0,3
58,2023-12-03 10:00:00,9.2,,,,,,0,0,0,3
59,2023-12-03 11:00:00,9.0,,,,,,0,0,0,3
60,2023-12-03 12:00:00,7.7,,,,,,0,0,0,3
61,2023-12-03 13:00:00,7.4,,,,,,0,0,0,3
62,2023-12-03 14:00:00,6.6,,,,,,0,0,0,3
63,2023-12-03 15:00:00,6.1,,,,,,0,0,0,3
64,2023-12-03 16:00:00,6.5,,,,,,0,0,0,3
65,2023-12-03 17:00:00,7.7,,,,,,0,0,0,3
66,2023-12-03 18:00:00,8.0,,,,,,0,0,0,3
67,2023-12-03 19:00:00,7.6,,,,,,0,0,0,3
68,2023-12-03 20:00:00,10.0,,,,,,0,0,0,3
69,2023-12-03 21:00:00,11.4,,,,,,0,0,0,3
70,2023-12-03 22:00:00,12.8,,,,,,0,0,0,3
71,2023-12-03 23:00:00,12.3,,,,,,0,0,0,3
72,2023-12-04 00:00:00,13.0,,,,,,0,0,0,3
73,2023-12-04 01:00:00,11.9,,,,,,0,0,0,3
74,2023-12-04 02:00:00,11.4,,,,,,0,0,0,3
75,2023-12-04 03:00:00,12.2,,,,,,0,0,0,3
76,2023-12-04 04:00:00,11.4,,,,,,0,0,0,3
77,2023-12-04 05:00:00,11.6,,,,,,0,0,0,3
78,2023-12-04 06:00:00,12.3,,,,,,0,0,0,3
79,2023-12-04 07:00:00,11.8,,,,,,0,0,0,3
80,2023-12-04 08:00:00,11.0,,,,,,0,0,0,3
81,2023-12-04 09:00:00,12.9,,,,,,0,0,0,3
82,2023-12-04 10:00:00,12.4,,,,,,0,0,0,3
83,2023-12-04 11:00:00,9.6,,,,,,0,0,0,3
84,2023-12-04 12:00:00,7.0,,,,,,0,0,0,3
85,2023-12-04 13:00:00,6.5,,,,,,0,0,0,2
86,2023-12-04 14:00:00,5.6,,,,,,0,0,0,3
87,2023-12-04 15:00:00,5.1,,,,,,0,0,0,3
88,2023-12-04 16:00:00,6.3,,,,,,0,0,0,3
89,2023-12-04 17:00:00,6.2,,,,,,0,0,0,3
90,2023-12-04 18:00:00,8.3,,,,,,0,0,0,3
91,2023-12-04 19:00:00,10.5,,,,,,0,0,0,3
92,2023-12-04 20:00:00,9.6,,,,,,0,0,0,3
93,2023-12-04 21:00:00,4.7,,,,,,0,0,0,3
94,2023-12-04 22:00:00,7.3,,,,,,0,0,0,3
95,2023-12-04 23:00:00,10.3,,,,,,0,0,0,3
96,2023-12-05 00:00:00,13.0,,,,,,0,0,0,3
97,2023-12-05 01:00:00,16.8,,,,,,0,0,0,3
98,2023-12-05 02:00:00,15.3,,,,,,0,0,0,3
99,2023-12-05 03:00:00,12.5,,,,,,0,0,0,3
100,2023-12-05 04:00:00,12.9,,,,,,0,0,0,3
101,2023-12-05 05:00:00,12.7,,,,,,0,0,0,3
102,2023-12-05 06:00:00,13.2,,,,,,0,0,0,3
103,2023-12-05 07:00:00,12.6,,,,,,0,0,0,3
104,2023-12-05 08:00:00,11.8,,,,,,0,0,0,3
105,2023-12-05 09:00:00,13.0,,,,,,0,0,0,3
106,2023-12-05 10:00:00,14.9,,,,,,0,0,0,3
107,2023-12-05 11:00:00,14.6,,,,,,0,0,0,3
108,2023-12-05 12:00:00,13.3,,,,,,0,0,0,3
109,2023-12-05 13:00:00,12.4,,,,,,0,0,0,2
110,2023-12-05 14:00:00,10.3,,,,,,0,0,0,3
111,2023-12-05 15:00:00,10.0,,,,,,0,0,0,3
112,2023-12-05 16:00:00,13.0,,,,,,0,0,0,3
113,2023-12-05 17:00:00,15.6,,,,,,0,0,0,3
114,2023-12-05 18:00:00,14.7,,,,,,0,0,0,3
115,2023-12-05 19:00:00,14.3,,,,,,0,0,0,3
116,2023-12-05 20:00:00,13.3,,,,,,0,0,0,3
117,2023-12-05 21:00:00,17.5,,,,,,0,0,0,3
118,2023-12-05 22:00:00,20.2,,,,,,0,0,0,2
119,2023-12-05 23:00:00,22.4,,,,,,0,0,0,2
120,2023-12-06 00:00:00,22.7,,,,,,0,0,0,3
121,2023-12-06 01:00:00,24.6,,,,,,0,0,0,3
122,2023-12-06 02:00:00,24.6,,,,,,0,0,0,3
123,2023-12-06 03:00:00,15.4,,,,,,0,0,0,3
124,2023-12-06 04:00:00,13.4,,,,,,0,0,0,3
125,2023-12-06 05:00:00,18.9,,,,,,0,0,0,3
126,2023-12-06 06:00:00,24.5,,,,,,0,0,0,3
127,2023-12-06 07:00:00,30.8,,,,,,0,0,0,2
128,2023-12-06 08:00:00,31.9,,,,,,0,0,0,2
129,2023-12-06 09:00:00,28.8,,,,,,0,0,0,2
130,2023-12-06 10:00:00,23.0,,,,,,0,0,0,2
131,2023-12-06 11:00:00,18.2,,,,,,0,0,0,2
132,2023-12-06 12:00:00,15.7,,,,,,0,0,0,2
133,2023-12-06 13:00:00,13.9,,,,,,0,0,0,2
134,2023-12-06 14:00:00,10.7,,,,,,0,0,0,3
135,2023-12-06 15:00:00,8.4,,,,,,0,0,0,3
136,2023-12-06 16:00:00,9.3,,,,,,0,0,0,2
137,2023-12-06 17:00:00,9.8,,,,,,0,0,0,3
138,2023-12-06 18:00:00,13.6,,,,,,0,0,0,2
139,2023-12-06 19:00:00,18.3,,,,,,0,0,0,3
140,2023-12-06 20:00:00,19.7,,,,,,0,0,0,3
141,2023-12-06 21:00:00,22.5,,,,,,0,0,0,3
142,2023-12-06 22:00:00,25.3,,,,,,0,0,0,3
