,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,40.5,,,,,,0,0,0,0
1,2023-12-01 01:00:00,37.1,,,,,,0,0,0,0
2,2023-12-01 02:00:00,36.7,,,,,,0,0,0,0
3,2023-12-01 03:00:00,35.8,,,,,,0,0,0,0
4,2023-12-01 04:00:00,33.8,,,,,,0,0,0,0
5,2023-12-01 05:00:00,31.8,,,,,,0,0,0,0
6,2023-12-01 06:00:00,28.1,,,,,,0,0,0,0
7,2023-12-01 07:00:00,22.2,,,,,,0,0,0,0
8,2023-12-01 08:00:00,18.4,,,,,,0,0,0,0
9,2023-12-01 09:00:00,18.1,,,,,,0,0,0,0
10,2023-12-01 10:00:00,16.6,,,,,,0,0,0,0
11,2023-12-01 11:00:00,19.9,,,,,,0,0,0,0
12,2023-12-01 12:00:00,21.8,,,,,,0,0,0,0
13,2023-12-01 13:00:00,17.6,,,,,,0,0,0,0
14,2023-12-01 14:00:00,15.1,,,,,,0,0,0,0
15,2023-12-01 15:00:00,14.8,,,,,,0,0,0,0
16,2023-12-01 16:00:00,13.5,,,,,,0,0,0,0
17,2023-12-01 17:00:00,13.5,,,,,,0,0,0,0
18,2023-12-01 18:00:00,38.9,,,,,,0,0,0,0
19,2023-12-01 19:00:00,48.3,,,,,,0,0,0,0
20,2023-12-01 20:00:00,32.8,,,,,,0,0,0,0
21,2023-12-01 21:00:00,24.4,,,,,,0,0,0,0
22,2023-12-01 22:00:00,18.6,,,,,,0,0,0,0
23,2023-12-01 23:00:00,14.5,,,,,,0,0,0,0
24,2023-12-02 00:00:00,11.7,,,,,,0,0,0,0
25,2023-12-02 01:00:00,12.1,,,,,,0,0,0,0
26,2023-12-02 02:00:00,18.1,,,,,,0,0,0,0
27,2023-12-02 03:00:00,21.1,,,,,,0,0,0,0
28,2023-12-02 04:00:00,17.7,,,,,,0,0,0,0
29,2023-12-02 05:00:00,13.9,,,,,,0,0,0,0
30,2023-12-02 06:00:00,11.7,,,,,,0,0,0,0
31,2023-12-02 07:00:00,10.1,,,,,,0,0,0,0
32,2023-12-02 08:00:00,8.6,,,,,,0,0,0,0
33,2023-12-02 09:00:00,7.5,,,,,,0,0,0,0
34,2023-12-02 10:00:00,7.8,,,,,,0,0,0,0
35,2023-12-02 11:00:00,10.6,,,,,,0,0,0,0
36,2023-12-02 12:00:00,11.3,,,,,,0,0,0,0
37,2023-12-02 13:00:00,9.6,,,,,,0,0,0,0
38,2023-12-02 14:00:00,10.2,,,,,,0,0,0,0
39,2023-12-02 15:00:00,10.2,,,,,,0,0,0,0
40,2023-12-02 16:00:00,8.6,,,,,,0,0,0,0
41,2023-12-02 17:00:00,7.5,,,,,,0,0,0,0
42,2023-12-02 18:00:00,6.8,,,,,,0,0,0,0
43,2023-12-02 19:00:00,10.9,,,,,,0,0,0,0
44,2023-12-02 20:00:00,18.7,,,,,,0,0,0,0
45,2023-12-02 21:00:00,19.6,,,,,,0,0,0,0
46,2023-12-02 22:00:00,17.9,,,,,,0,0,0,0
47,2023-12-02 23:00:00,16.8,,,,,,0,0,0,0
48,2023-12-03 00:00:00,18.8,,,,,,0,0,0,0
49,2023-12-03 01:00:00,20.7,,,,,,0,0,0,0
50,2023-12-03 02:00:00,22.0,,,,,,0,0,0,0
51,2023-12-03 03:00:00,24.0,,,,,,0,0,0,0
52,2023-12-03 04:00:00,21.3,,,,,,0,0,0,0
53,2023-12-03 05:00:00,16.6,,,,,,0,0,0,0
