,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,15.7,35.0,31.0,0.34,2.0,1.0,0,23,96,285
1,2023-12-01 01:00:00,17.0,37.0,27.0,0.31,2.0,1.0,0,22,97,287
2,2023-12-01 02:00:00,10.0,36.0,26.0,0.29,2.0,0.0,1,22,97,231
3,2023-12-01 03:00:00,11.5,30.0,24.0,0.27,2.0,0.0,0,22,97,242
4,2023-12-01 04:00:00,8.0,26.0,21.0,0.26,1.0,0.0,1,22,97,106
5,2023-12-01 05:00:00,7.0,22.0,21.0,0.24,2.0,0.0,2,22,98,112
6,2023-12-01 06:00:00,7.6,23.0,20.0,0.33,2.0,0.0,2,23,95,47
7,2023-12-01 07:00:00,10.0,22.0,22.0,0.3,2.0,0.0,2,26,71,65
8,2023-12-01 08:00:00,11.3,24.0,30.0,0.27,2.0,0.0,3,25,69,11
9,2023-12-01 09:00:00,7.2,27.0,32.0,0.32,2.0,0.0,2,26,63,56
10,2023-12-01 10:00:00,4.0,20.0,36.0,0.31,1.0,0.0,2,29,59,50
11,2023-12-01 11:00:00,4.0,23.0,34.0,0.32,1.0,0.0,2,30,55,34
12,2023-12-01 12:00:00,4.2,16.0,35.0,0.31,1.0,0.0,1,33,54,76
13,2023-12-01 13:00:00,,,,,,,0,0,0,0
14,2023-12-01 14:00:00,3.0,18.0,35.0,0.32,1.0,0.0,2,32,64,93
15,2023-12-01 15:00:00,3.9,17.0,34.0,0.36,1.0,0.0,2,32,64,82
16,2023-12-01 16:00:00,2.2,22.0,,,,,2,32,66,6
17,2023-12-01 17:00:00,3.8,31.0,30.0,0.54,8.0,0.0,1,30,79,120
18,2023-12-01 18:00:00,15.8,46.0,17.0,0.52,20.0,0.0,1,28,92,152
19,2023-12-01 19:00:00,15.2,51.0,22.0,0.45,10.0,0.0,2,27,96,139
20,2023-12-01 20:00:00,12.3,38.0,23.0,0.34,7.0,0.0,1,24,97,172
21,2023-12-01 21:00:00,8.4,35.0,27.0,0.25,2.0,0.0,3,25,97,8
22,2023-12-01 22:00:00,5.3,22.0,28.0,0.23,1.0,0.0,3,25,97,13
23,2023-12-01 23:00:00,3.2,18.0,25.0,0.23,1.0,0.0,2,24,97,35
24,2023-12-02 00:00:00,3.9,18.0,24.0,0.21,1.0,0.0,2,24,97,43
25,2023-12-02 01:00:00,4.0,21.0,22.0,0.24,1.0,0.0,2,24,97,23
26,2023-12-02 02:00:00,4.9,16.0,20.0,0.25,1.0,0.0,1,24,97,70
27,2023-12-02 03:00:00,4.1,15.0,19.0,0.25,2.0,0.0,1,23,97,124
28,2023-12-02 04:00:00,3.1,19.0,18.0,0.22,1.0,0.0,1,23,97,94
29,2023-12-02 05:00:00,3.9,20.0,17.0,0.28,2.0,0.0,1,23,97,38
30,2023-12-02 06:00:00,5.8,20.0,18.0,0.25,2.0,0.0,1,23,97,12
31,2023-12-02 07:00:00,6.9,20.0,22.0,0.26,1.0,0.0,2,24,97,357
32,2023-12-02 08:00:00,6.1,27.0,26.0,0.28,2.0,0.0,3,26,89,24
33,2023-12-02 09:00:00,7.8,23.0,29.0,0.29,1.0,0.0,3,28,83,31
34,2023-12-02 10:00:00,7.1,17.0,30.0,0.29,1.0,0.0,3,28,81,30
35,2023-12-02 11:00:00,5.2,18.0,32.0,0.28,1.0,0.0,3,29,78,4
36,2023-12-02 12:00:00,5.0,19.0,33.0,0.32,1.0,0.0,3,31,70,21
37,2023-12-02 13:00:00,5.0,18.0,33.0,0.32,1.0,0.0,3,31,70,16
38,2023-12-02 14:00:00,5.0,20.0,34.0,0.3,1.0,0.0,3,31,71,15
39,2023-12-02 15:00:00,4.3,20.0,36.0,0.36,2.0,0.0,3,31,69,38
40,2023-12-02 16:00:00,4.1,15.0,34.0,0.43,9.0,0.0,2,31,70,38
41,2023-12-02 17:00:00,4.9,27.0,,,,,1,29,79,14
42,2023-12-02 18:00:00,5.0,28.0,24.0,0.54,9.0,0.0,1,27,92,34
43,2023-12-02 19:00:00,8.6,29.0,26.0,0.4,4.0,0.0,1,27,93,26
44,2023-12-02 20:00:00,8.1,32.0,24.0,0.4,6.0,0.0,1,25,97,173
45,2023-12-02 21:00:00,10.7,28.0,19.0,0.42,7.0,0.0,1,25,97,125
46,2023-12-02 22:00:00,10.1,30.0,19.0,0.35,3.0,0.0,1,24,97,22
