PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
11.5,20.0,23.0,0.2,1.0,0.0,2,28.0,86,15
11.2,18.0,22.0,0.27,2.0,0.0,2,27.0,88,352
9.8,17.0,19.0,0.26,3.0,0.0,2,27.0,90,348
9.7,17.0,17.0,0.26,2.0,0.0,2,26.0,91,1
8.7,16.0,17.0,0.26,2.0,0.0,2,27.0,90,3
8.6,17.0,11.0,0.34,3.0,0.0,2,26.0,93,344
11.4,20.0,8.0,0.37,4.0,0.0,1,26.0,94,328
11.2,22.0,11.0,0.32,3.0,0.0,2,27.0,90,3
13.9,27.0,18.0,0.27,1.0,0.0,3,30.0,78,37
21.0,41.0,20.0,0.25,2.17,0.0,4,33.0,68,54
16.5,34.0,22.0,0.2,1.0,0.15,4,34.0,64,61
14.4,28.0,23.52,0.29,1.0,0.0,5,35.0,61,60
11.2,24.0,27.0,0.27,1.0,0.0,5,35.0,59,66
10.1,22.0,29.0,0.27,1.0,0.0,5,35.0,58,68
9.7,21.0,30.0,0.27,1.0,0.0,5,35.0,57,64
8.4,20.0,30.0,0.28,1.0,1.0,5,35.0,59,52
8.6,19.0,31.0,0.28,1.0,1.0,5,34.0,60,51
8.1,18.0,26.0,0.27,2.0,1.0,5,32.0,66,57
8.7,17.0,22.0,0.27,2.0,0.0,3,30.0,71,54
12.6,25.0,20.0,0.26,2.0,1.0,3,29.0,76,40
16.3,32.0,19.0,0.26,1.0,1.0,3,29.0,80,29
13.2,27.0,18.0,0.27,1.0,1.0,4,28.0,82,31
11.7,24.0,17.0,0.26,1.0,1.0,3,28.0,83,20
10.7,21.0,17.0,0.26,1.0,1.0,3,28.0,84,18
9.6,19.0,17.0,0.23,1.0,0.0,3,28.0,85,17
10.0,18.0,17.0,0.2,1.0,0.0,2,27.0,86,28
10.6,17.0,16.0,0.17,1.0,0.0,1,27.0,87,357
10.7,17.0,14.0,0.17,2.0,0.0,1,27.0,89,357
12.8,25.0,12.0,0.17,3.0,0.0,2,26.0,91,348
12.1,25.0,10.0,0.19,3.0,0.0,3,26.0,92,355
19.4,41.0,26.0,0.05,1.0,0.0,6,34.0,60,66
15.8,34.0,28.0,0.05,1.0,0.0,5,35.0,58,54
13.1,28.0,30.0,0.05,1.0,0.0,5,35.0,55,65
11.2,24.0,32.0,0.05,1.0,0.0,5,35.0,54,67
10.0,21.0,33.0,0.05,1.0,0.0,5,36.0,54,55
9.3,20.0,32.0,0.05,1.0,0.0,5,35.0,56,52
8.9,18.0,31.0,0.05,2.0,0.0,5,32.0,62,50
8.8,17.0,29.0,0.05,2.0,0.0,4,31.0,70,50
10.7,21.0,26.0,0.05,2.0,0.0,4,29.0,76,54
10.0,19.0,25.0,0.05,1.0,0.0,4,29.0,80,63
13.5,26.0,22.0,0.05,1.0,0.0,3,28.0,81,51
11.8,22.0,21.0,0.05,1.0,0.0,3,28.0,81,43
9.7,20.0,20.0,0.05,1.0,0.0,4,28.0,82,37
9.5,19.0,19.0,0.05,1.0,0.0,3,28.0,84,17
9.0,18.0,19.0,0.05,1.0,0.0,3,27.0,85,16
8.4,17.0,19.0,0.05,1.0,0.0,3,27.0,86,13
10.4,16.0,14.0,0.05,4.0,0.0,1,27.0,88,343
10.4,18.0,11.0,0.06,5.0,0.0,1,26.0,90,301
9.3,18.0,6.0,0.17,6.0,0.0,2,25.0,93,325
9.3,20.0,8.0,0.09,5.0,0.0,2,26.0,92,349
12.0,24.0,8.0,0.12,2.17,0.0,2,27.0,88,346
17.8,34.0,19.0,0.2,2.0,0.15,3,31.0,75,39
30.5,44.0,23.52,0.07,1.0,0.0,5,33.0,64,55
17.7,36.0,29.0,0.07,1.0,0.0,5,34.0,61,60
14.7,30.0,29.0,0.06,1.0,0.0,5,35.0,58,68
12.6,26.0,29.0,0.05,1.0,0.0,5,36.0,55,60
10.5,23.0,29.0,0.05,1.0,0.0,5,36.0,53,64
8.6,21.0,29.0,0.05,1.0,1.0,6,36.0,51,67
8.1,19.0,28.0,0.06,1.0,1.0,5,35.0,53,63
7.8,19.0,27.0,0.05,1.0,1.0,5,35.0,58,45
8.8,20.0,23.0,0.07,2.0,1.0,4,32.0,64,54
8.1,17.0,23.0,0.06,2.0,1.0,4,31.0,69,52
8.6,17.0,23.0,0.07,2.0,1.0,3,30.0,75,49
9.1,17.0,22.0,0.08,2.0,1.0,3,29.0,78,51
11.1,20.0,21.0,0.07,2.0,1.0,2,28.0,82,45
10.3,19.0,22.0,0.06,1.0,1.0,3,28.0,83,35
9.5,18.0,23.0,0.06,1.0,1.0,3,28.0,84,31
10.9,20.0,23.0,0.1,1.0,0.0,2,28.0,85,10
10.7,20.0,21.0,0.22,1.0,1.0,2,27.0,87,7
9.7,18.0,19.0,0.22,2.0,0.0,2,27.0,89,356
10.1,20.0,18.0,0.22,2.0,0.0,2,27.0,90,353
11.6,22.0,16.0,0.24,4.0,0.0,1,26.0,91,342
10.3,20.0,16.0,0.25,4.0,0.0,2,26.0,91,348
10.0,18.0,11.0,0.33,2.17,0.0,2,26.0,92,337
9.8,19.0,9.0,0.2,8.0,0.15,2,27.0,90,338
15.8,26.0,23.52,0.29,3.0,0.0,2,31.0,76,37
17.7,33.0,32.0,0.17,1.0,0.0,4,33.0,65,55
15.4,30.0,33.0,0.16,1.0,0.0,4,34.0,61,66
13.7,26.0,33.0,0.15,1.0,0.0,4,35.0,60,71
